prop_id,player_name,prop_type,line,odds,pick,edge,confidence,projection,probability,injury_status,injury_source,trend,avg_5,avg_10,avg_15,streak,hit_rate_10,samples_10,hit_rate_15,samples_15
8a59c926ad0214ec:assists:7.5:over,Darius Garland,assists,7.5,105,PASS,0.1121,0.2,8.33,0.5999,,,FLAT,6.6,7.0,6.538461538461538,0,,0,,0
8a59c926ad0214ec:assists:7.5:under,Darius Garland,assists,7.5,-139,PASS,-0.1815,0.2,8.33,0.4001,,,FLAT,6.6,7.0,6.538461538461538,0,,0,,0
facb6803046eab5c:assists:3.5:over,Brandon Miller,assists,3.5,-121,PASS,0.1168,0.3286,4.95,0.6643,,,UP,4.6,3.5,3.5833333333333335,0,,0,,0
facb6803046eab5c:assists:3.5:under,Brandon Miller,assists,3.5,-110,PASS,-0.1881,0.3286,4.95,0.3357,,,UP,4.6,3.5,3.5833333333333335,0,,0,,0
440168766d15343b:assists:3.5:over,Kon Knueppel,assists,3.5,-110,PASS,-0.0271,0.16,3.5,0.4967,,,UNKNOWN,,,,0,,0,,0
440168766d15343b:assists:3.5:under,Kon Knueppel,assists,3.5,-121,PASS,-0.0442,0.16,3.5,0.5033,,,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:assists:3.5:over,Miles Bridges,assists,3.5,134,PASS,0.0432,0.16,3.5,0.4705,,,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:assists:3.5:under,Miles Bridges,assists,3.5,-175,PASS,-0.1069,0.16,3.5,0.5295,,,UNKNOWN,,,,0,,0,,0
335aba9590921564:assists:3.5:over,Lonzo Ball,assists,3.5,-159,PASS,-0.0919,0.16,3.5,0.522,,,UNKNOWN,,,,0,,0,,0
335aba9590921564:assists:3.5:under,Lonzo Ball,assists,3.5,119,PASS,0.0213,0.16,3.5,0.478,,,UNKNOWN,,,,0,,0,,0
220e544c0e1716ed:assists:5.5:over,Donovan Mitchell,assists,5.5,-130,PASS,-0.0147,0.15,5.81,0.5506,PROBABLE,NBA Official Report,FLAT,5.4,5.7,5.466666666666667,0,,0,,0
220e544c0e1716ed:assists:5.5:under,Donovan Mitchell,assists,5.5,-103,PASS,-0.0579,0.15,5.81,0.4494,PROBABLE,NBA Official Report,FLAT,5.4,5.7,5.466666666666667,0,,0,,0
a7dee1eef19c56f4:assists:7.5:over,LaMelo Ball,assists,7.5,-114,PASS,-0.0336,0.11,7.5,0.4991,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
a7dee1eef19c56f4:assists:7.5:under,LaMelo Ball,assists,7.5,-117,PASS,-0.0383,0.11,7.5,0.5009,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
b08b695cba57a107:points:7.5:over,Ryan Kalkbrenner,points,7.5,-106,PASS,-0.0203,0.06,7.5,0.4943,QUESTIONABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
b08b695cba57a107:points:7.5:under,Ryan Kalkbrenner,points,7.5,-125,PASS,-0.0498,0.06,7.5,0.5057,QUESTIONABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
220e544c0e1716ed:points:30.5:over,Donovan Mitchell,points,30.5,100,PASS,0.051,0.15,32.93,0.551,PROBABLE,NBA Official Report,FLAT,30.8,30.7,30.933333333333334,0,,0,,0
220e544c0e1716ed:points:30.5:under,Donovan Mitchell,points,30.5,-130,PASS,-0.1162,0.15,32.93,0.449,PROBABLE,NBA Official Report,FLAT,30.8,30.7,30.933333333333334,0,,0,,0
1632dad36b5e936c:points:6.5:over,Dean Wade,points,6.5,-117,PASS,-0.1396,0.2009,4.73,0.3995,,,FLAT,4.6,5.2,4.933333333333334,0,,0,,0
1632dad36b5e936c:points:6.5:under,Dean Wade,points,6.5,-114,PASS,0.0677,0.2009,4.73,0.6005,,,FLAT,4.6,5.2,4.933333333333334,0,,0,,0
e300be223d9124fe:points:5.5:over,Sion James,points,5.5,-104,PASS,-0.0173,0.16,5.5,0.4925,,,UNKNOWN,,,,0,,0,,0
e300be223d9124fe:points:5.5:under,Sion James,points,5.5,-129,PASS,-0.0558,0.16,5.5,0.5075,,,UNKNOWN,,,,0,,0,,0
facb6803046eab5c:points:19.5:over,Brandon Miller,points,19.5,-114,PASS,0.0953,0.256,22.59,0.628,,,UP,20.0,18.5,17.833333333333332,0,,0,,0
facb6803046eab5c:points:19.5:under,Brandon Miller,points,19.5,-117,PASS,-0.1672,0.256,22.59,0.372,,,UP,20.0,18.5,17.833333333333332,0,,0,,0
0fcc97fb82556cb2:points:13.5:over,Jaylon Tyson,points,13.5,-124,PASS,-0.0377,0.16,13.63,0.5159,,,UNKNOWN,,,,0,,0,,0
0fcc97fb82556cb2:points:13.5:under,Jaylon Tyson,points,13.5,-108,PASS,-0.0351,0.16,13.63,0.4841,,,UNKNOWN,,,,0,,0,,0
9ea8ae204f976e4e:points:7.5:over,Sam Merrill,points,7.5,-108,PASS,-0.024,0.11,7.5,0.4952,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
9ea8ae204f976e4e:points:7.5:under,Sam Merrill,points,7.5,-124,PASS,-0.0488,0.11,7.5,0.5048,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
440168766d15343b:points:18.5:over,Kon Knueppel,points,18.5,-120,PASS,-0.0431,0.16,18.5,0.5024,,,UNKNOWN,,,,0,,0,,0
440168766d15343b:points:18.5:under,Kon Knueppel,points,18.5,-112,PASS,-0.0307,0.16,18.5,0.4976,,,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:points:18.5:over,Miles Bridges,points,18.5,-114,PASS,-0.0336,0.16,18.5,0.4991,,,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:points:18.5:under,Miles Bridges,points,18.5,-117,PASS,-0.0383,0.16,18.5,0.5009,,,UNKNOWN,,,,0,,0,,0
0aa082da5aeeb340:points:6.5:over,Moussa Diabate,points,6.5,-130,PASS,-0.0571,0.16,6.5,0.5081,,,UNKNOWN,,,,0,,0,,0
0aa082da5aeeb340:points:6.5:under,Moussa Diabate,points,6.5,-103,PASS,-0.0155,0.16,6.5,0.4919,,,UNKNOWN,,,,0,,0,,0
ada18546837dac41:points:15.5:over,Jarrett Allen,points,15.5,-108,PASS,-0.0124,0.16,15.65,0.5068,,,UNKNOWN,,,,0,,0,,0
ada18546837dac41:points:15.5:under,Jarrett Allen,points,15.5,-122,PASS,-0.0564,0.16,15.65,0.4932,,,UNKNOWN,,,,0,,0,,0
d6fa084d1a037f96:points:13.5:over,De'Andre Hunter,points,13.5,-103,PASS,-0.1466,0.2784,11.66,0.3608,,,DOWN,9.6,10.6,12.533333333333333,0,,0,,0
d6fa084d1a037f96:points:13.5:under,De'Andre Hunter,points,13.5,-130,PASS,0.074,0.2784,11.66,0.6392,,,DOWN,9.6,10.6,12.533333333333333,0,,0,,0
335aba9590921564:points:6.5:over,Lonzo Ball,points,6.5,-111,PASS,-0.0291,0.16,6.5,0.497,,,UNKNOWN,,,,0,,0,,0
335aba9590921564:points:6.5:under,Lonzo Ball,points,6.5,-121,PASS,-0.0445,0.16,6.5,0.503,,,UNKNOWN,,,,0,,0,,0
8a59c926ad0214ec:points:20.5:over,Darius Garland,points,20.5,-124,PASS,0.1077,0.3226,25.46,0.6613,,,UP,22.2,18.1,16.923076923076923,0,,0,,0
8a59c926ad0214ec:points:20.5:under,Darius Garland,points,20.5,-108,PASS,-0.1805,0.3226,25.46,0.3387,,,UP,22.2,18.1,16.923076923076923,0,,0,,0
a7dee1eef19c56f4:points:19.5:over,LaMelo Ball,points,19.5,-120,PASS,-0.0431,0.11,19.5,0.5024,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
a7dee1eef19c56f4:points:19.5:under,LaMelo Ball,points,19.5,-112,PASS,-0.0307,0.11,19.5,0.4976,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
facb6803046eab5c:pra:27.5:over,Brandon Miller,pra,27.5,-119,PASS,0.1452,0.3771,34.47,0.6886,,,UP,31.6,27.0,25.583333333333332,0,,0,,0
facb6803046eab5c:pra:27.5:under,Brandon Miller,pra,27.5,-109,PASS,-0.2101,0.3771,34.47,0.3114,,,UP,31.6,27.0,25.583333333333332,0,,0,,0
0fcc97fb82556cb2:pra:22.5:over,Jaylon Tyson,pra,22.5,-108,PASS,-0.0119,0.16,22.73,0.5074,,,UNKNOWN,,,,0,,0,,0
0fcc97fb82556cb2:pra:22.5:under,Jaylon Tyson,pra,22.5,-120,PASS,-0.0528,0.16,22.73,0.4926,,,UNKNOWN,,,,0,,0,,0
220e544c0e1716ed:pra:40.5:over,Donovan Mitchell,pra,40.5,-110,PASS,0.0199,0.15,42.35,0.5438,PROBABLE,NBA Official Report,DOWN,38.8,40.2,40.93333333333333,0,,0,,0
220e544c0e1716ed:pra:40.5:under,Donovan Mitchell,pra,40.5,-118,PASS,-0.085,0.15,42.35,0.4562,PROBABLE,NBA Official Report,DOWN,38.8,40.2,40.93333333333333,0,,0,,0
2a4f649870db0148:pra:26.5:over,Miles Bridges,pra,26.5,-122,PASS,-0.0453,0.16,26.5,0.5043,,,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:pra:26.5:under,Miles Bridges,pra,26.5,-108,PASS,-0.0235,0.16,26.5,0.4957,,,UNKNOWN,,,,0,,0,,0
e300be223d9124fe:pra:9.5:over,Sion James,pra,9.5,-132,PASS,-0.0585,0.16,9.5,0.5104,,,UNKNOWN,,,,0,,0,,0
e300be223d9124fe:pra:9.5:under,Sion James,pra,9.5,102,PASS,-0.0055,0.16,9.5,0.4896,,,UNKNOWN,,,,0,,0,,0
ada18546837dac41:pra:27.5:over,Jarrett Allen,pra,27.5,-106,PASS,-0.0093,0.16,27.77,0.5053,,,UNKNOWN,,,,0,,0,,0
ada18546837dac41:pra:27.5:under,Jarrett Allen,pra,27.5,-125,PASS,-0.0609,0.16,27.77,0.4947,,,UNKNOWN,,,,0,,0,,0
d6fa084d1a037f96:pra:18.5:over,De'Andre Hunter,pra,18.5,-120,PASS,-0.1377,0.2,17.05,0.4077,,,DOWN,14.4,15.3,17.933333333333334,0,,0,,0
d6fa084d1a037f96:pra:18.5:under,De'Andre Hunter,pra,18.5,-108,PASS,0.0731,0.2,17.05,0.5923,,,DOWN,14.4,15.3,17.933333333333334,0,,0,,0
335aba9590921564:pra:14.5:over,Lonzo Ball,pra,14.5,-119,PASS,-0.0403,0.16,14.5,0.5031,,,UNKNOWN,,,,0,,0,,0
335aba9590921564:pra:14.5:under,Lonzo Ball,pra,14.5,-109,PASS,-0.0246,0.16,14.5,0.4969,,,UNKNOWN,,,,0,,0,,0
8a59c926ad0214ec:pra:31.5:over,Darius Garland,pra,31.5,-108,PASS,0.1553,0.349,37.9,0.6745,,,UP,32.2,28.1,26.46153846153846,0,,0,,0
